n_wpp_questions,wpp_to_faq_annotation,ratio_question,ratio_value,partial_ratio_question,partial_ratio_value,token_sort_ratio_question,token_sort_ratio_value,token_set_ratio_question,token_set_ratio_value,token_ratio_question,token_ratio_value,partial_token_sort_ratio_question,partial_token_sort_ratio_value,partial_token_set_ratio_question,partial_token_set_ratio_value,partial_token_ratio_question,partial_token_ratio_value,WRatio_question,WRatio_value,QRatio_question,QRatio_value
1,57; 56,[58],[44.58],[18],[100.0],[79],[50.23],[61],[66.67],[61],[66.67],[18],[100.0],[1],[100.0],[1],[100.0],[1],[85.5],[58],[44.58]
2,109; 110,[90],[40.17],[110],[78.26],[79],[44.8],[110],[100.0],[110],[100.0],[102],[66.67],[79],[100.0],[79],[100.0],[79],[85.5],[90],[40.17]
3,109; 110,[94],[51.85],[102],[66.67],[110],[56.6],[110],[56.6],[110],[56.6],[102],[66.67],[65],[100.0],[65],[100.0],[79],[85.5],[94],[51.85]
4,109; 110,[87],[42.36],[102],[66.67],[109],[46.25],[110],[72.22],[110],[72.22],[110],[65.22],[66],[100.0],[66],[100.0],[66],[85.5],[87],[42.36]
7,107,[19],[38.6],[107],[100.0],[56],[40.95],[107],[100.0],[107],[100.0],[107],[100.0],[2],[100.0],[2],[100.0],[4],[85.5],[19],[38.6]
8,50,[50],[50.35],[48],[72.73],[50],[53.15],[50],[59.46],[50],[59.46],[48],[100.0],[2],[100.0],[2],[100.0],[2],[85.5],[50],[50.35]
14,67; 69,[67],[46.15],[48],[81.82],[79],[51.67],[93],[55.32],[93],[55.32],[48],[72.73],[22],[100.0],[22],[100.0],[22],[85.5],[67],[46.15]
16,48,[91],[54.1],[71],[79.17],[91],[52.46],[48],[77.78],[48],[77.78],[71],[75.0],[2],[100.0],[2],[100.0],[2],[85.5],[91],[54.1]
17,57; 72,[22],[45.95],[18],[100.0],[22],[47.3],[18],[100.0],[18],[100.0],[18],[100.0],[17],[100.0],[17],[100.0],[17],[85.5],[22],[45.95]
18,44; 46; 48,[80],[51.85],[48],[90.91],[80],[48.89],[48],[77.78],[48],[77.78],[48],[80.0],[24],[100.0],[24],[100.0],[24],[85.5],[80],[51.85]
20,6; 7; 8,[63],[48.32],[6],[100.0],[63],[47.3],[16],[60.0],[16],[60.0],[6],[100.0],[6],[100.0],[6],[100.0],[7],[85.5],[63],[48.32]
21,86,[77],[47.22],[48],[63.16],[77],[61.11],[77],[61.11],[77],[61.11],[77],[65.57],[2],[100.0],[2],[100.0],[2],[85.5],[77],[47.22]
27,102 ; 103,[79],[27.64],[102],[100.0],[87],[28.74],[102],[100.0],[102],[100.0],[102],[100.0],[4],[100.0],[4],[100.0],[98],[85.5],[79],[27.64]
28,102 ; 103,[81],[50.36],[102],[83.33],[22],[47.33],[82],[48.06],[82],[48.06],[102],[90.91],[103],[100.0],[103],[100.0],[103],[85.5],[81],[50.36]
29,102 ; 103,[87],[41.03],[6],[62.5],[87],[44.44],[104],[63.16],[104],[63.16],[104],[73.08],[87],[100.0],[87],[100.0],[98],[85.5],[87],[41.03]
30,102 ; 103,[84],[46.97],[102],[66.67],[26],[47.17],[26],[50.0],[26],[50.0],[24],[55.88],[24],[100.0],[24],[100.0],[24],[85.5],[84],[46.97]
31,102 ; 103,[109],[45.45],[104],[65.38],[81],[49.1],[104],[63.16],[104],[63.16],[104],[65.38],[83],[100.0],[83],[100.0],[83],[85.5],[109],[45.45]
32,102 ; 103,[84],[40.82],[48],[54.55],[82],[43.06],[82],[46.15],[82],[46.15],[46],[55.0],[96],[51.52],[46],[55.0],[48],[49.09],[84],[40.82]
34,,[92],[48.0],[64],[61.11],[40],[47.22],[40],[47.22],[40],[47.22],[6],[62.5],[6],[62.5],[6],[62.5],[64],[55.0],[92],[48.0]
35,103; 106,[87],[35.94],[102],[100.0],[87],[36.46],[102],[100.0],[102],[100.0],[102],[100.0],[87],[100.0],[87],[100.0],[87],[85.5],[87],[35.94]
36,,[36],[56.79],[107],[84.62],[36],[56.79],[107],[76.19],[107],[76.19],[107],[76.92],[36],[100.0],[36],[100.0],[104],[85.5],[36],[56.79]
37,103,[79],[38.64],[107],[84.62],[49],[39.34],[107],[76.19],[107],[76.19],[107],[76.92],[104],[100.0],[104],[100.0],[104],[85.5],[79],[38.64]
38,103,[69],[43.84],[102],[90.91],[82],[48.41],[82],[50.0],[82],[50.0],[102],[83.33],[45],[100.0],[45],[100.0],[45],[85.5],[69],[43.84]
39,102; 103,[84],[49.67],[6],[62.5],[81],[46.15],[82],[47.55],[82],[47.55],[6],[62.5],[6],[62.5],[6],[62.5],[65],[51.0],[84],[49.67]
40,102; 103; 106,[87],[45.07],[102],[66.67],[79],[48.57],[79],[46.0],[79],[48.57],[102],[66.67],[56],[100.0],[56],[100.0],[56],[85.5],[87],[45.07]
42,102; 103,[87],[30.52],[102],[83.33],[79],[31.58],[107],[76.19],[107],[76.19],[107],[76.92],[2],[100.0],[2],[100.0],[22],[85.5],[87],[30.52]
44,73; 76,[96],[53.49],[11],[61.54],[5],[49.09],[77],[49.41],[77],[49.41],[48],[63.64],[2],[100.0],[2],[100.0],[2],[85.5],[96],[53.49]
45,73 ; 74,[84],[52.54],[77],[71.19],[81],[57.85],[74],[72.34],[74],[72.34],[74],[75.0],[2],[100.0],[2],[100.0],[2],[85.5],[84],[52.54]
46,73 ; 74,[84],[45.57],[104],[57.69],[87],[52.36],[87],[52.36],[87],[52.36],[74],[63.33],[2],[100.0],[2],[100.0],[2],[85.5],[84],[45.57]
