n_wpp_questions,wpp_to_faq_annotation,llm_question,justificativa
1,57; 56,"[56, 71, 97]","As perguntas 56, 71 e 97 do FAQ são as mais similares à pergunta do usuário porque tratam de ações orçamentárias, sua inclusão no Plano Plurianual e a possibilidade de alteração ou utilização de ações orçamentárias de outras Unidades de Planejamento, o que está relacionado à adequação das ações orçamentárias às iniciativas propostas no Plano 24-27."
2,109; 110,"[109, 108, 86]","A pergunta do usuário está relacionada a problemas de acesso ao SIPLAG, o que é abordado nas perguntas 109, 108 e 86 do FAQ. A pergunta 109 trata de como solicitar acesso ao SIPLAG, a pergunta 108 explica como acessar o sistema e a pergunta 86 discute a atividade de revisão do PPA no SIPLAG, que pode estar relacionada ao problema de acesso do usuário."
3,109; 110,"[109, 108, 86]","A pergunta do usuário está relacionada ao acesso ao SIPLAG e senha, então as perguntas do FAQ que são mais similares são aquelas que tratam do acesso ao sistema, como a pergunta 109 que fala sobre solicitar acesso, a pergunta 108 que fala sobre como acessar o sistema e a pergunta 86 que fala sobre inserir informações no sistema durante a atividade de revisão."
4,109; 110,"[108, 109, 86]","As perguntas 108, 109 e 86 são as mais semantically similares à pergunta do usuário, pois todas elas estão relacionadas ao acesso e utilização do Sistema de Inteligência em Planejamento e Gestão (SIPLAG), que é mencionado na pergunta do usuário. A pergunta 108 fornece informações sobre como acessar o SIPLAG, a pergunta 109 ajuda a resolver problemas de acesso e a pergunta 86 fornece informações sobre a atividade de revisão do PPA no SIPLAG, que pode estar relacionada ao cadastro de usuário para acesso ao sistema."
7,107,"[109, 108, 103]","A pergunta do usuário está relacionada a um problema de acesso ao site da REDEPLAN e ao Sistema de Inteligência em Planejamento e Gestão (Siplag), portanto, as perguntas do FAQ que melhor se encaixam são: 109, que trata de como solicitar acesso ao SIPLAG, 108, que explica como acessar o SIPLAG, e 103, que fornece informações sobre a Rede de Planejamento (REDEPLAN), que pode ser útil para entender melhor o contexto do problema."
8,50,"[49, 72, 108]","As perguntas do FAQ 49, 72 e 108 são relevantes para a pergunta do usuário pois tratam de metas físicas dos produtos, monitoramento do Plano Plurianual e acesso ao Sistema de Inteligência em Planejamento e Gestão (Siplag), que são conceitos relacionados à emissão de relatórios sobre metas físicas dos produtos no SIPLAG PPA."
14,67; 69,"[66, 69, 96]","As perguntas 66, 69 e 96 do FAQ são as mais semantically similares à pergunta do usuário, pois tratam da adequação de metas e indicadores no Plano Plurianual, o que está diretamente relacionado à dúvida do usuário sobre incluir produtos ou alterar quantitativos de metas já lançadas."
16,48,"[53, 70, 79]","As perguntas 53, 70 e 79 são relevantes porque tratam de situações de produtos no período de monitoramento, inclusão de produtos no PPA e criação de produtos durante o monitoramento, respectivamente, o que está relacionado à questão do usuário sobre incluir um produto que já existe, mas não está na relação de produtos no SIPLAG."
17,57; 72,"[16, 57, 71]","A pergunta do usuário está relacionada à associação de ações a uma iniciativa no Plano Plurianual. A pergunta 16 do FAQ define o conceito de ""triângulo da iniciativa"", que inclui ações orçamentárias. A pergunta 57 do FAQ discute o papel da ação para a iniciativa, o que está diretamente relacionado à pergunta do usuário. A pergunta 71 do FAQ explica como incluir uma ação orçamentária no Plano Plurianual, o que pode ajudar a resolver o problema do usuário de não conseguir associar ações à sua iniciativa."
18,44; 46; 48,"[70, 53, 55]","As perguntas 70, 53 e 55 do FAQ são as mais similares à pergunta do usuário porque tratam de produtos e como incluí-los ou monitorá-los no Plano Plurianual, o que está relacionado à dificuldade do usuário em cadastrar um produto e encontrar um número na listagem de produtos. A pergunta 70 aborda como incluir um produto no PPA, a pergunta 53 fala sobre as situações possíveis dos produtos no período de monitoramento, e a pergunta 55 discute como incluir um produto no PPA fora da atividade de revisão, todas elas relacionadas ao gerenciamento de produtos no contexto do Plano Plurianual."
