user_question,ratio,partial_ratio,token_set_ratio,partial_token_set_ratio,token_sort_ratio,partial_token_sort_ratio,token_ratio,partial_token_ratio,WRatio
"Boa tarde! Gostaria de tirar uma dúvida. As ações orçamentárias poderão ser modificadas com o objetivo de se adequar melhor as iniciativas a serem propostas no Plano 24-27?
","('Quais as datas de abertura e finalização da atividade de adequação de metas para 2024 do Plano Plurianual 2024-2027?',)","('O que é uma iniciativa?',)","('O que é o objetivo de uma iniciativa?',)","('O que é o Plano Plurianual?',)","('Por que iniciativas associadas a programas de serviços ao Estado não tem indicadores?',)","('O que é uma iniciativa?',)","('O que é o objetivo de uma iniciativa?',)","('O que é o Plano Plurianual?',)","('O que é o Plano Plurianual?',)"
"Precisei solicitar uma nova senha de acesso para o SIPLAG. Em resposta, o sistema me enviou mais de 20 senhas diferentes. Todas dando erro de acesso.  Precisamos acompanhar nossos atos e não consigo acessar.","('Quais critérios devo considerar ao revisar e definir as novas metas de entregas e resultados para 2025?',)","('Não tenho acesso ao SIPLAG. Como solicitar?',)","('Não tenho acesso ao SIPLAG. Como solicitar?',)","('O que é o Plano Plurianual?',)","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)","('Não tenho acesso ao SIPLAG. Como solicitar?',)","('Não tenho acesso ao SIPLAG. Como solicitar?',)","('O que é o Plano Plurianual?',)","('O que é o Plano Plurianual?',)"
bom dia! Com quem posso falar sobre senha do SIPLAG?,"('Como incluir uma proposta nova na atividade de Revisão no SIPLAG?',)","('O que é um programa?',)","('Como incluir uma proposta nova na atividade de Revisão no SIPLAG?',)","('Qual a estrutura do Plano Plurianual 2024-2027?',)","('Como saber qual o melhor indicador para a minha iniciativa?',)","('O que são as ASPLOs?',)","('Como incluir uma proposta nova na atividade de Revisão no SIPLAG?',)","('Qual a estrutura do Plano Plurianual 2024-2027?',)","('Quais são os atributos do produto?',)"
" Bom dia, Alguém poderia me esclarecer como preencher as UNIDADES PARA ACESSO no formulário de cadastro de usuário para acesso ao Sistema SIPLAG no SEI?","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)","('Não tenho acesso ao SIPLAG. Como solicitar?',)","('Não tenho acesso ao SIPLAG. Como solicitar?',)","('Que diretrizes devem ser seguidas no Plano Plurianual?',)","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)","('Como definir a linha de base e as metas de um indicador?',)","('Não tenho acesso ao SIPLAG. Como solicitar?',)","('Que diretrizes devem ser seguidas no Plano Plurianual?',)","('Que diretrizes devem ser seguidas no Plano Plurianual?',)"
"A indicação  dos servidores responsáveis pelo lançamento no siplag do PPA, POD e LOA pode ser via e-mail ou terá  que ser aberto processo no SEI?
","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)","('O que são as ASPLOs?',)","('Tenho um produto regionalizável que não teve execução. Como dar essa informação no processo de monitoramento?',)","('O que é o Plano Plurianual?',)","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)","('Como definir a linha de base e as metas de um indicador?',)","('Tenho um produto regionalizável que não teve execução. Como dar essa informação no processo de monitoramento?',)","('O que é o Plano Plurianual?',)","('O que é o Plano Plurianual?',)"
"No caso dos órgãos que já têm servidores operando o SIPLAG também é preciso fazer a indicação?
","('Por que iniciativas associadas a programas de serviços ao Estado não tem indicadores?',)","('Como gerar relatórios no SIPLAG?',)","('O que é um programa?',)","('O que é o Plano Plurianual?',)","('Em relação aos indicadores, que tipo de informação precisa ser registrada?',)","('O que é o Plano Plurianual?',)","('O que é um programa?',)","('O que é o Plano Plurianual?',)","('O que é o Plano Plurianual?',)"
"Bom dia. Não estou conseguindo gerar o doc do PPA 2024-2027 no site da REDEPLAN. Ao clicar no link, abre outra aba do site mas não gera o doc. Alguém poderia me enviar por favor ou tentar solucionar esse erro ? Desde já, agradeço.","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)","('Qual o site da Redeplan?',)","('Qual o site da Redeplan?',)","('O que é o Plano Plurianual?',)","('Quais as datas de abertura e finalização da atividade de adequação de metas para 2024 do Plano Plurianual 2024-2027?',)","('Qual o site da Redeplan?',)","('Qual o site da Redeplan?',)","('O que é o Plano Plurianual?',)","('Qual a relação entre PPA, LDO e LOA?',)"
Consigo emitir relatório referentes as metas físicas dos produtos diretamente do SIPLAG PPA apenas para minha up? ,"('Como estabelecer as metas físicas dos produtos da programação do meu órgão?',)","('Como estabelecer as metas físicas dos produtos da programação do meu órgão?',)","('Como estabelecer as metas físicas dos produtos da programação do meu órgão?',)","('Qual a relação entre PPA, LDO e LOA?',)","('Como estabelecer as metas físicas dos produtos da programação do meu órgão?',)","('Como gerar relatórios no SIPLAG?',)","('Como estabelecer as metas físicas dos produtos da programação do meu órgão?',)","('Qual a relação entre PPA, LDO e LOA?',)","('Qual a relação entre PPA, LDO e LOA?',)"
Algum de  vocês conseguiu desde sexta-feira gerar relatório do segundo quadrimestre.,"('Qual a data de abertura do monitoramento do 1º quadrimestre de 2024?',)","('Como gerar relatórios no SIPLAG?',)","('Qual a data de abertura do monitoramento do 1º quadrimestre de 2024?',)","('Qual a estrutura do Plano Plurianual 2024-2027?',)","('Em relação aos indicadores, que tipo de informação precisa ser registrada?',)","('Como gerar relatórios no SIPLAG?',)","('Qual a data de abertura do monitoramento do 1º quadrimestre de 2024?',)","('Qual a estrutura do Plano Plurianual 2024-2027?',)","('Qual a estrutura do Plano Plurianual 2024-2027?',)"
Boa tarde! A extração dos relatórios não está funcionando corretamente no SIPLAG. Relatamos a situação para a TI.,"('Quais critérios devo considerar ao revisar e definir as novas metas de entregas e resultados para 2025?',)","('Como gerar relatórios no SIPLAG?',)","('Como gerar relatórios no SIPLAG?',)","('Qual a relação entre PPA, LDO e LOA?',)","('Por que iniciativas associadas a programas de serviços ao Estado não tem indicadores?',)","('Como gerar relatórios no SIPLAG?',)","('Como gerar relatórios no SIPLAG?',)","('Qual a relação entre PPA, LDO e LOA?',)","('Qual a relação entre PPA, LDO e LOA?',)"
